id,body,actor,reply,time,category,control
879,Omg this place looks so lovely!,MrShazam,121,0:02,control,1
880,Congratulations! Very happy you've found your new home,JuniperQ,121,0:08,control,1
881,"Oh absolutely yes, that porch screams your name!",csmbx1,121,0:10,control,1
882,Aww! This is so amazing! It looks perfect for you. ,sweetpea,121,2:11,control,1
883,You HAVE to cook for me sometime!,SnakeCharmer,122,0:02,control,1
884,delicious AND healthy! pop off ,_aikira_,122,0:06,control,1
885,omg that looks sooo yummy!! ,wiz_khaleesi,122,0:10,control,1
886,Looks absolutely delish!,bblueberryy,122,0:12,control,1
887,YUM!,livelaughlove,122,2:09,control,1
888,Awwww!!!! what's their name???,bblueberryy,123,0:03,control,1
889,that is THE cutest dog I've ever seen!! ,HP743,123,0:08,control,1
890,when can I come over and meet him??? ,Sue_S,123,0:13,control,1
891,My jaw DROPPED. So adorable!,livelaughlove,123,0:20,control,1
892,If you ever need a dog sitter you know who to message :),ancho-n-cayenne,123,2:08,control,1
893,"Jealous, Target is my happy place",livelaughlove,124,0:05,control,1
894,love love love,ancho-n-cayenne,124,0:11,control,1
895,"I could spend HOURS in target, it's kinda a problem",fgonzalez,124,2:45,control,1
896,Looks like perfect weather!,ancho-n-cayenne,125,0:04,control,1
897,Fun in the sun :),fgonzalez,125,0:10,control,1
898,Hope you had a great time!,sweetpea,125,3:49,control,1
899,Happy birthday!!!,fgonzalez,126,0:03,control,1
900,Awwww how old is the cutie pie now?,sweetpea,126,0:14,control,1
901,What a cutie! happy birthday kitty! ,karenM,126,0:15,control,1
902,Happy birthday!,Sue_S,126,4:21,control,1
903,Wow! Can't believe he's been playing for so long!,sweetpea,127,0:05,control,1
904,He's come a long way since his first lessons 😂 very impressive!,Sue_S,127,0:14,control,1
905,Great work Alex! Proud of you!,Jcole9,127,3:22,control,1
906,Absolutely stunning,Sue_S,128,0:04,control,1
907,wow so serene and peaceful,lavenderrrrrr,128,0:06,control,1
908,Seems so fun!,Jcole9,128,0:12,control,1
909,"How gorgeous, I have to get there some day",ria_camiii,128,3:51,control,1
910,Sweet memories ❤️,Jcole9,129,0:01,control,1
911,Wow! A home computer. This picture is so neat.,mateoV,129,0:13,control,1
912,Aww such fun memories! ,fusionfeast,129,0:14,control,1
913,Sending love to your beautiful family,ria_camiii,129,0:19,control,1
914,What a happy time!,TomM41,129,4:14,control,1
915,YUMMMMM,ria_camiii,130,0:01,control,1
916,"Haven't been yet, can't wait to try it!",TomM41,130,0:09,control,1
917,"Couldn't agree more! If you haven't been yet, GO!!!!",TimBJenkins,130,2:50,control,1
918,"Same, I love winter ❄️",TomM41,131,0:03,control,1
919,"Not me, I'm enjoying the heat while it lasts!",TimBJenkins,131,0:06,control,1
920,Such a gorgeous view! Did you go hiking? ,caffeinated,131,0:17,control,1
921,What a beautiful photo!,B.Mike,131,3:27,control,1
922,What a throwback!,TimBJenkins,132,0:04,control,1
923,Wow! I had completely forgotten!!!,B.Mike,132,0:18,control,1
924,Blast from the past that's for sure!,HP743,132,4:11,control,1
925,Truly stunning.,B.Mike,133,0:02,control,1
926,"Oh wow, thank you for sharing. Absolutely breathtaking.",HP743,133,0:06,control,1
927,Love this so much,Lisa181818,133,4:33,control,1
928,Cherish these memories 🥰,HP743,134,0:01,control,1
929,You must be so proud!,ancho-n-cayenne,134,0:08,control,1
930,Such a little daddy's girl! <3 ,livelaughlove,134,0:17,control,1
931,She's gotten so big!,Lisa181818,134,0:19,control,1
932,Wow she's doing great! Way to go!,dana84,134,3:27,control,1
933,"Glad you're staying safe, I miss it too!",Lisa181818,135,0:01,control,1
934,Feels like a lifetime ago doesn't it?,dana84,135,0:17,control,1
935,That seems like a whole other world! Cant wait to get back to it,NoahM1121,135,0:22,control,1
936,Cheers to that...,john73,135,2:12,control,1
937,SUCH A GOOD DOGGO,dana84,136,0:03,control,1
938,tell him he's a good boy from me!!!,john73,136,0:08,control,1
939,He looks cute! ,coachmatthews,136,3:38,control,1
940,Oooo love the new look!,john73,137,0:05,control,1
941,Wow you're right the lights tie everything together!,coachmatthews,137,0:09,control,1
942,"girl, that looks SO cute!! ",_aikira_,137,0:12,control,1
943,I love perks of being a wallflower! One of my faves!,tastyrobot,137,0:15,control,1
944,Love what you've done with the place,NoahM1121,137,2:15,control,1
945,STUNNING,coachmatthews,138,0:02,control,1
946,"Omg I'm so jealous, what a great view",NoahM1121,138,0:08,control,1
947,Where are you? It looks absolutely gorgeous! ,kittycatbakes,138,0:10,control,1
948,Wow!,MannyDL34,138,4:49,control,1
949,That's so lovely,NoahM1121,139,0:03,control,1
950,Great times! Take me back amiright?,MannyDL34,139,0:08,control,1
951,How sweet 🥰,mateoV,139,2:07,control,1
952,"I remember this, such a great performance!",MannyDL34,140,0:05,control,1
953,I love going to concerts so much! ,jupiterpride,140,0:07,control,1
954,I miss the shows!,mateoV,140,0:16,control,1
955,Love this! Someday soon!!!,sweetpea,140,4:13,control,1
956,"Aww, the good ol' days",mateoV,141,0:01,control,1
957,Never thought I'd miss it so much!,sweetpea,141,0:14,control,1
958,Great picture!,localewis,141,3:18,control,1
959,Ooo I might be interested in it!,sweetpea,142,0:01,control,1
960,My friend has a truck I'll ask!,localewis,142,0:12,control,1
961,I'm interested!,artisanalways,142,4:00,control,1
962,Don't you ever wish you could read a book for the first time again?,localewis,143,0:04,control,1
963,One of my favorites too!,artisanalways,143,0:07,control,1
964,Ooo haven't read that book yet but love the show!,tacoguy,143,0:09,control,1
965,A classic!,jake_turk,143,0:19,control,1
966,Nothing better than a good book.,_aikira_,143,3:12,control,1
967,He's growin up! ,artisanalways,144,0:03,control,1
968,Cutest bros,_aikira_,144,0:06,control,1
969,hey lol,SnakeCharmer,144,0:09,control,1
970,hi mikey! ,lee.alexa,144,4:05,control,1
971,Nooooo I'm sorry :(,_aikira_,145,0:04,control,1
972,Dang yeah that happened to me a few weeks ago it's the worst,lee.alexa,145,0:08,control,1
973,Oh heck I'm sorry dude,fusionfeast,145,4:54,control,1
974,Ohhh that was one of my favorites too!,lee.alexa,146,0:02,control,1
975,Sounds like a perfect day,fusionfeast,146,0:07,control,1
976,I'll have to give that book a try!,breathe_in,146,2:09,control,1
977,Wow so pretty!,fusionfeast,147,0:01,control,1
978,So great to have some nice biking weather,breathe_in,147,0:05,control,1
979,Sounds so fun! ,coachmatthews,147,0:08,control,1
980,Such great exercise :)) ,MannyDL34,147,0:13,control,1
981,Love it!,ria_camiii,147,3:13,control,1
982,"One of my favorite places, so interesting!",breathe_in,148,0:04,control,1
983,Where is this? Looks so beautiful,artisanalways,148,0:07,control,1
984,Isn't it so great??,lee.alexa,148,0:14,control,1
985,Seems awesome,ria_camiii,148,0:15,control,1
986,You're so right it's the perfect day for that,Sue_S,148,3:00,control,1
987,Awww congratulations!,ria_camiii,149,0:02,control,1
988,Cute couple ❤️,bblueberryy,149,0:06,control,1
989,GOALS,Sue_S,149,0:18,control,1
990,I'm so single 😭,caffeinated,149,4:24,control,1
991,ugh relatable,Sue_S,150,0:05,control,1
